,Unnamed: 0,Title,Genre,Summary,Year,Rating,Metascore,Votes,Runtime,Actors
122,122,Modern Family,"['comedy', 'romance']",Three different but related families face trials and tribulations in their own uniquely comedic ways.,2009,8.4,,309435.0,22 min,"Ed O'Neill, Sofía Vergara, Julie Bowen, Ty Burrell"
123,123,RuPaul's Drag Race,"['game-show', 'reality-tv']",RuPaul searches for America's next drag superstar.,2009,8.4,,10771.0,45 min,"RuPaul, Michelle Visage, Santino Rice, Jason Carter"
124,124,Blue Mountain State,"['comedy', 'sport']","Three incoming freshmen attending Midwestern college football powerhouse Blue Mountain State must quickly adapt to college life and juggle football, girls, classes and nonstop hazing.",20102011,8.4,,45758.0,22 min,"Darin Brooks, Alan Ritchson, Chris Romano, Ed Marinaro"
125,125,Southland,"['crime', 'drama', 'thriller']",The lives of Police Officers working for the Los Angeles Police Department.,20092013,8.4,,23507.0,42 min,"Michael Cudlitz, Shawn Hatosy, Regina King, Ben McKenzie"
126,126,The Angry Video Game Nerd,"['comedy', 'talk-show']",A foul-mouthed nerd reviews bad video games.,2004,8.4,,12923.0,35 min,"James Rolfe, Kyle Justin, Mike Matei, Kevin Finn"
127,127,Fringe,"['drama', 'mystery', 'sci-fi']",An F.B.I. agent is forced to work with an institutionalized scientist and his son in order to rationalize a brewing storm of unexplained phenomena.,20082013,8.4,,205537.0,46 min,"Anna Torv, Joshua Jackson, John Noble, Jasika Nicole"
128,128,Pushing Daisies,"['comedy', 'drama', 'fantasy']","A pie-maker, with the power to bring dead people back to life, solves murder mysteries with his alive-again childhood sweetheart, a cynical private investigator, and a lovesick waitress.",20072009,8.4,,51083.0,44 min,"Lee Pace, Anna Friel, Chi McBride, Jim Dale"
129,129,Psych,"['comedy', 'crime', 'mystery']","A novice sleuth is hired by the police after he cons them into thinking he has psychic powers which help solve crimes. With the assistance of his reluctant best friend, the duo take on a series of complicated cases.",20062014,8.4,,76962.0,44 min,"James Roday, Dulé Hill, Timothy Omundson, Corbin Bernsen"
130,130,Prison Break,"['action', 'crime', 'drama']","Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.",2009,8.0,,22005.0,89 min,"Kevin Hooks, Brad Turner, Wentworth Miller, Dominic Purcell, William Fichtner, Amaury Nolasco"
131,131,Veronica Mars,"['crime', 'drama', 'mystery']","After her best friend is murdered, and her father is removed as county Sheriff, Veronica Mars dedicates her life to cracking the toughest mysteries in the affluent town of Neptune.",20042007,8.4,,60333.0,44 min,"Kristen Bell, Percy Daggs III, Jason Dohring, Francis Capra"
132,132,Lost,"['adventure', 'drama', 'fantasy']",The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,20042010,8.4,,452041.0,44 min,"Jorge Garcia, Josh Holloway, Yunjin Kim, Evangeline Lilly"
133,133,Boston Legal,"['comedy', 'crime', 'drama']","Boston Legal is a spin-off of the long-running David E. Kelley series The Practice (1997), following the exploits of former Practice character Alan Shore (James Spader) at the legal firm of Crane, Poole, and Schmidt.",20042008,8.4,,40004.0,44 min,"James Spader, William Shatner, Candice Bergen, Rene Auberjonois"
134,134,Rescue Me,"['drama', 'comedy']",Tommy Gavin deals with the fears of his job as a firefighter and seeing his ex-wife dating other men.,20042011,8.4,,23833.0,42 min,"Denis Leary, Michael Lombardi, Steven Pasquale, Andrea Roth"
135,135,The Boondocks,"['animation', 'action', 'comedy']","Based on the comic strip, Huey and Riley move away from the city and out to the suburbs with their irascible grandfather. Biting socio-political commentary ensues.",1999,7.8,,216459.0,108 min,"Troy Duffy, Willem Dafoe, Sean Patrick Flanery, Norman Reedus, David Della Rocco"
136,136,Scrubs,"['comedy', 'drama']","In the unreal world of Sacred Heart Hospital, intern John ""J.D."" Dorian learns the ways of medicine, friendship, and life.",20012010,8.4,,222671.0,22 min,"Zach Braff, Donald Faison, Sarah Chalke, John C. McGinley"
137,137,24,"['action', 'crime', 'drama']","Jack Bauer, Director of Field Ops for the Counter-Terrorist Unit of Los Angeles, races against the clock to subvert terrorist plots and save his nation from ultimate disaster.",20012010,8.4,,162520.0,44 min,"Kiefer Sutherland, Mary Lynn Rajskub, Carlos Bernard, Dennis Haysbert"
138,138,Samurai Jack,"['animation', 'action', 'adventure']",A samurai sent through time fights to return home and save the world.,20012017,8.4,,39194.0,25 min,"Phil LaMarr, Mako, Kevin Michael Richardson, Jeff Bennett"
139,139,Stargate SG-1,"['action', 'adventure', 'drama']","A secret military team, SG-1, is formed to explore other planets through the recently discovered Stargates.",19972007,8.4,,77161.0,44 min,"Richard Dean Anderson, Michael Shanks, Amanda Tapping, Christopher Judge"
