,Unnamed: 0,Title,Genre,Network,Summary
68,68,The Smile Has Left Your Eyes,"['Mystery', 'Thriller']",tvN,this drama is based on â€œsora kara furu ichioku no hoshiâ€œ by eriko kitagawaitâ€™s tell the story of two people who have a fateful meeting and continue to cross paths throughout their daily lives
69,69,Where Stars Land,"['Melodrama', 'Romance']",SBS,the series follows the lives of the people working at the airportlee soo yeon lee je hoon is a toptier university graduate who is accepted to work at incheon airport he is mysterious and keeps people at a distance meanwhile han yeo reum chae soo bin is a woman who has dreamed of working at the incheon airport but has never been on a plane she becomes a passenger service agent who is known as a â€œhuman bombâ€ due to her accident prone nature
70,70,Bad Papa,['Family'],MBC,this drama tells the story of a man who chooses to become a bad person in order to be a good fatheryoo ji chul jang hyuk is a former undefeated boxing champion who falls into despair after losing all of his fame money and family at once as he begins to stand on his feet again as a mixed martial arts fighter with the help of a mysterious drug he sets out to find the family that he lost
71,71,The Beauty Inside,"['Fantasy', 'Melodrama', 'Romance']",jTBC,this drama is remake of 2015 movie â€œthe beauty insideâ€œ with certain major elements of the original story changeditâ€™s about the love story of han se kye seo hyun jin an alist actress who must spend one week out of each month living in someone elseâ€™s body meanwhile seo do jae lee min ki is a man who suffers from prosopagnosia which suffers from an inability to recognize faces
72,72,The Player,"['Action', 'Crime']",OCN,this drama is about the revenge of four talented individuals in their respective fields who create an elite team to solve crimeskang ha ri song seung hun is a veteran conman from a family of investigators who was born bold and gifted with words meanwhile cha ah ryung krystal is a skilled driver who grew up in an orphanage after being abandoned by her parents
73,73,The Third Charm,"['Romance', 'Comedy']",jTBC,this drama tells the love story of two individuals with completely opposite personality from the ages of 20 to 32on joo young seo kang joon is a meticulous and principled university student who never deviates from his perfectly scheduled routines meanwhile lee young jae esom is a spontaneous and emotional but honest woman who gave up college and started working as an assistant hairdresser
74,74,Sweet and Salty Office,"['Office', 'Romance']",MBC every1,this drama is about a single woman in her 30s talks about her work and love life over food
75,75,Heart Surgeons,['Medical'],SBS,the series revolves around the thoracic surgery department of a hospitalpark tae soo go soo is a thoracic surgery fellow for four years whose mother is waiting for a heart transplant meanwhile choi suk han uhm ki joon is a thoracic surgeon who is renowned for his skills but has not been treated fairly due to his humble medical background from a local university
76,76,Terius Behind Me,"['Romance', 'Mystery']",MBC,this drama is about a woman named go ae rin jung in sun loses her husband along with her neighbour kim bon so ji sub who is a nis agent they discover the truth behind her husbandâ€™s involvement in a huge conspiracy
77,77,After The Rain,['FamilyRomance'],KBS2,this is a drama about bong gil kim kang woo who is forty single and dying to move to seoul and away from his 90yearold father whoâ€™s been making pyeongyang naengmyun for the past 70 lonely years
78,78,Ping Pong Ball,['Sport'],jTBC,based on webcomic â€œtakkookongâ€ by jo geum san which was first published from 2010jan2 via comicdaumcomwebtoonit is a unique buddy drama about a young university student and a mysterious homeless person bonding through their struggles and experiences with unfulfilled past loves
79,79,My Only One,['Romance'],KBS2,this drama is about a woman who loses everything one day when she discovers that her parents are not her biological ones and that they are also murderers it is the story of someone who will live boldly while putting back together the pieces of her life broken by love
80,80,KBS Drama Special 2018,['NaN'],KBS2,title ë“œë¼ë§ˆ ìš¤íž˜ì…œ 2018  kbs drama special 2018 broadcast network kbs2 broadcast period 2018sep14 to 2018nov16 airtime friday 2200 related drama kbs drama specialabout kbs drama special 2018kbs drama special 2018 is an anthology series that features different stories cast members and production teams each week and is presented single episodesepisode titledateepisode title20180914ë‚˜ì˜ í‘ì—­ì‚¬ ì˜¤ë‹µë…¸íš¸  my embarrassing days20180921ìžší˜€ì§„ ê³„ì ˆ  forgotten season20180928ì°¸ì¹˜ì™€ ëœê³ ëž˜	 the tuna and the dolphin20181005ë„ˆë¬´ í•œë‚®ì˜ ì—°ì•   a very midday romance20181012ë¯¸ìš¤ê¹€ì˜ ë¯¸ìš¤í„°ë¦¬	 ms kims mystery20181019ì´í† ë¡ ì˜¤ëžœ ì´ë³„  such a long farewell20181026ë„í”¼ìžë“¤	 dreamers20181102ì—„ë§ˆì˜ ì„¸ ë²ˆì§¸ ê²°í˜¼  my mothers third marriage20181109ë„ˆì™€ ë‚˜ì˜ ìœ íš¨ê¸°ê°„	 the time left between us20181116ë‹¿ì„ ë“¯ ë§ ë“¯  almost touchingofficial siteofficial posterofficial trailerawards2018 kbs drama awards â€“ rookie awards actress park se wan marry me now too bright for love dance sports girls 2018 kbs drama awards â€“ excellence actor oneactspecialshort series yoon park tuna and the dolphin 2018 kbs drama awards â€“ excellence actress oneactspecialshort series lee il hwa my motherâ€™s third marriageshare thisclick to share on facebook opens in new windowclick to share on twitter opens in new window
81,81,Hand: The Guest,"['Supernatural', 'Mystery']",OCN,nan
