,Actor,Shows
82,Chae So Young,"['The Package', 'Temperature of Love', 'All About My Mom', 'Temptation', 'Can’t Take It Anymore', 'Do You Know Taekwondo?', 'Mom is Pretty Too', 'The Road Home', 'Dae Jang Geum']"
83,Chae Song Hwa,"['Smashing on Your Back', 'Birdie Buddy']"
84,Chae Soo Bin,"['Where Stars Land', 'I’m Not a Robot', 'If We Were a Season', 'Strongest Deliveryman', 'Rebel: Thief Who Stole the People', 'Shopping King Louis', 'Moonlight Drawn by Clouds', 'Sassy Go Go', 'Blue Bird’s House', 'Spy', 'The Diary of a Resentful Woman', 'The Diary of Heong Yeong Dang', '2018 SBS Drama Award', '2017 MBC Drama Award', '2015 KBS Drama Award', '2018 SBS Drama Award']"
85,Chae Young In,"['Glowing She', 'Live in Style', 'Stars Falling From the Sky', 'Terroir', 'Temptation of Wife', 'I Am Happy', 'Damo']"
86,Cho Shi Yoon,['Seonam Girls High School Investigators']
87,Choi Ah Ra (1995),"['Big Heat', 'Second Proposal']"
88,Choi Ah Ra (1993),['Age of Youth 2']
89,Choi Bae Young,['Age of Youth 2']
90,Choi Da In,"['Big Man', 'Goddess of Marriage', 'Their Perfect Day', 'I Love You', 'A Wife’s Credentials']"
91,Choi Eun Kyung,"['Cinderella and Four Knights', 'Late Night Restaurant', 'Flower of the Queen', 'Sweden Laundry', 'The Heirs', 'Potato Star 2013QR3', 'Standby', 'A Wife’s Credentials', 'High Kick! 2', 'Tae Hee, Hye Kyo, Ji Hyun', 'Hello, Francesca']"
92,Choi Eun Seo,"['Stormy Lovers', 'Personal Preference', 'The 1st Shop of Coffee Prince', 'Dal Ja’s Spring', 'Sharp 3']"
93,Choi Ha Na,"['Unkind Women', 'Shut Up Family', 'The Great Gift', 'Giant', 'Dong Yi', 'Big Sister', 'The King and I', 'Lovers', 'Bad Family', 'The Youth in Bare Foot']"
94,Choi Hee Jin,['Hide and Seek']
95,Choi Hee Seo,"['Big Forest', 'Mistress', 'Scandal: A Shocking and Wrongful Incident', 'Just Like Today']"
96,Choi Hwa Jung,"['Temperature of Love', 'The Best Hit', 'Jealousy Incarnate', 'Wonderful Days', 'One Warm Word', 'Can We Get Married ?', 'The Greatest Love', 'Kim Soo Ro']"
97,Choi Hyo Eun,"['Mrs. Cop', 'School 2015: Who Are You?', 'Kill Me, Heal Me', 'My Lovely Girl', 'Reset']"
98,Choi Hyun Seo,"['Unique Daughters-in-Law', 'Strong Woman Do Bong Soon', 'Miss Korea', 'Gu Am Heo Joon', 'Queen of Ambition', 'Oh Ja Ryong is Coming']"
