,Actor,Shows
116,Choi Na Moo,"['What’s Wrong With Secretary Kim', 'Eulachacha Waikiki', 'Father is Strange', 'Fight for My Way', 'The Liar and His Lover', 'TV Novel – My Mind’s Flower Rain', 'Goblin', 'Weightlifting Fairy Kim Bok Joo', 'Fantastic', 'Shopping King Louie', 'Moonlight Drawn by Clouds', 'My Love Eun Dong', 'The Shiniest Time in Life']"
117,Choi Ran,"['Women’s Secret', 'Big', 'Man of Honor', 'Poseidon', 'Daughters of Bilitis Club', 'Dong Yi', 'You’re Beautiful', 'Don’t Hesitate', 'Swallow the Sun', 'Strongest Chil Woo', 'Hong Gil Dong', 'Thirty Thousand Miles in Search of My Son', 'Kimcheed Radish Cubes', 'Air City', '101st Proposal', 'My Girl', 'Sad Goodbye', 'Sad Love Song', 'Delightful Girl Choon Hyang', 'Into The Storm', 'Second Proposal', 'All In']"
118,Choi Ri,"['My First First Love', 'Come and Hug Me', 'Witch’s Court', 'Goblin', 'Blow Breeze']"
119,Choi Seol Ri,"['f(x', 'To the Beautiful You', 'Welcome to the Show', 'Vacation', 'Love Needs a Miracle', 'Ballad Of Suh Dong', '2012 SBS Drama Award']"
120,Choi So Eun,['Princess Aurora']
121,Choi Song Hyun,"['Big Issue', 'Chicago Typewriter', 'On the Way to the Airport', 'Vampire Detective', 'Mama – Nothing to Fear', 'Potato Star 2013QR3', 'TEN 2', 'I Need Romance 2012', 'Can’t Live without You', 'I Need Romance', 'Prosecutor Princess', 'The Birth of the Rich', 'Smile, You', 'Mrs. Town', 'Gourmet']"
122,Choi Soo Eun,"['The King of Dramas', 'You’re Beautiful', 'Soul']"
123,Choi Soo Rin,"['Yoo Hye R', 'Enemies From the Past', 'Bad Thief, Good Thief', 'Always Spring', 'Sweet Home, Sweet Honey', 'Mom', 'Bird That Doesn’t Cry', 'School 2015: Who Are You?', 'Apgujeong Midnight Sun', 'TV Novel – Single Minded Dandelion', 'High School – Love On', 'Golden Cross', 'Will You Love and Give It Away?', 'Her Legend', 'Birth Secret', 'Horse Doctor', 'Soldier', 'Twelve Men in a Year', 'Live in Style', 'Sparkling', 'I Believed in Men', 'Home Sweet Home', 'Chosun Police 3', 'Kim Soo Ro', 'Golden Fish', 'Hero', 'Hometown Legends', 'Partner', 'Give Me Food', 'Kyung Sook’s Father', 'My Precious Child', 'You Are Very Good', 'Catch A Kang Nam Mother', 'Hello! Miss', 'Sharp 3', 'Mom’s Song']"
124,Choi Soo Young,"['SNS', 'Man Who Sets the Table', 'Someone Noticeable', '38 Task Force', 'Perfect Sense', 'The Spring Day of My Life', 'Dating Agency: Cyrano', 'The 3rd Hospital', 'A Gentleman’s Dignity', 'Paradise Ranch', 'Oh! My Lady', 'Unstoppable Marriage', '2014 MBC Drama Award']"
125,Choi Sun Ja,"['My Heart Twinkle Twinkle', 'New Tales of Gisaeng', 'Queen of Ahyun']"
126,Choi Sun Young,['Producer']
127,Choi Wan Jung,"['Sunny Again Tomorrow', 'Man Who Sets the Table', 'TV Novel – Dal Soon’s Spring', 'The Shining Eun Soo', 'TV Novel – My Mind’s Flower Rain', 'TV Novel: Abiding Love Dandelion', 'Glorious Day', 'Angel’s Revenge', 'Innocent You', 'My Precious Child', 'King and I']"
128,Choi Woo Ri,"['Matrimonial Chaos', 'Bride of the Water God', 'Queen In Hyun’s Man']"
129,Choi Ye Seul,"['Mom', 'Angry Mom', 'Cheo Yong']"
130,Choi Yeo Jin,"['Lovely Horribly', 'Jugglers', 'Borg Mom', 'On the Way to the Airport', 'Riders: Catch Tomorrow', 'The Lover', 'Valid Love', 'Emergency Man and Woman', 'Incarnation of Money', 'Beloved', 'Dream High Season 2', 'I Need Romance', 'More Charming by the Day', 'Dream', 'My Woman', 'Golden Bride', 'Capital Scandal', 'Surgeon Bong Dal Hee', 'The Snow Queen', 'The Invisible Man', 'Lawyers', 'Hello My Teacher', 'Sorry I Love You']"
131,Choi Yoo Hwa,"['Life', 'Mistress', 'Suits', 'Age of Youth 2', 'Like a Fairytale', 'You’re Amusing?', 'Take Care of Us, Captain', 'My Princess', 'The Great Gye Choon Bin']"
132,Choi Yoo Ra,"['Spy', 'Emergency Man and Woman']"
133,Choi Yoo Ri,"['Priest', 'Clean With Passion For Now', 'To. Jenny', 'Secret Mother', 'I’m Not a Robot', 'Man Who Sets the Table', 'Reunited Worlds', 'Defendant', 'Person Who Gives Happiness', 'Wanted', 'Five Children']"
134,Choi Yoo Song,"['Clean With Passion For Now', 'Mr. Sunshine', 'Bad Guys: City of Evil', 'Han Yeo Reum’s Memory']"
135,Choi Yoon So,"['Mother', 'Good Witch', 'Woman of Dignity', 'Nameless Woman', 'Happy Home', 'Neighborhood Hero', 'Second Time Twenty Years Old', 'Love Frequency 37.2', 'Liar Game', 'TV Novel – Eun Hee', 'Unexpected You', 'The 3rd Hospital', 'Can’t Live without You', 'Warrior Baek Dong Soo', 'Lie to Me', 'Hair Show', 'Royal Family', 'Secret Garden', 'Smile, Dong Hae', 'My Precious Child']"
136,Choi Yoon Young (1975),"['Queen of the Game', 'We Are Dating Now']"
137,Choi Yoon Young (1986),"['Enemies From the Past', 'Everything Will Be OK', 'A Cat! Meow', 'Passionate Love', 'The Greatest Thing in the World', 'The Queen’s Classroom', 'Like a Fairytale', 'My Daughter Seo Yeong', 'Queen of Reversals', 'King of Baking, Kim Tak Goo', 'Invincible Lee Pyung Kang', 'Hot Blood', 'The Man Who Can’t Get Married', 'A Man’s Story', 'That Fool', '2014 KBS Drama Award']"
138,Choi Young Shin,['You’re All Surrounded']
139,Choo Sang Mi,"['Lee Suk Joo', 'My Woman', 'Snow in August', 'Love and Ambition', 'Let’s Marry', 'Lawyers', 'Yellow Handkerchief']"
140,Choo So Young,"['I Love You From Today', 'Mother’s Garden', 'King’s Dream', 'I Need a Fairy', 'The Musical', 'Birdie Buddy', 'The Princess’ Man', 'Crime Squad', 'Merchant Kim Man Deok', 'Hometown Legends', 'Pure 19', 'Hello, God', 'More Beautiful Than a Flower']"
141,Choo Soo Hyun,"['Grand Prince', 'The King Loves', 'The Time We Were Not In Love', 'Pinocchio', 'Gap Dong']"
142,Choo Ye Jin,"['A Promise with the Gods', 'Divorce Lawyer in Love', 'The Three Musketeers', 'A Little Love Never Hurts', 'The Queen’s Classroom', 'The Virus', '7th Grade Civil Servant', 'Golden Time', 'Glass Mask', 'Just Like Today']"
143,Chu Gwi Jung,"['Gangnam Scandal', 'Money Flower', 'The Moon That Embraces the Sun']"
144,Chu Ja Hyun,"['Beautiful World', 'A Man Called God', 'Oh! Pil Seung And Bong Soon Young', 'Successful Story of a Bright Girl']"
145,Chun Min Hee,"['Han Yeo Reum’s Memory', 'Moorim School', 'Emergency Man and Woman']"
146,Chun Woo Hee,"['Argon', 'Vampire Idol', 'The Woman Who Still Wants To Marry']"
147,Chun Yi Seul,"['What’s Wrong, Poong Sang', 'Cinderella and the Four Knights', 'Magic Hanja', 'King of High School Life Conduct', 'Like a Fairytale']"
148,Da Som,"['He Is Psychometric', 'The Last Empress', 'Ms. Kim’s Mystery', 'Unni is Alive', 'The Eccentric Daughter-in-Law', 'Melody of Love', 'Family', '2017 SBS Drama Award']"
149,Dahee,['Monstar']
150,Dan Ji,"['The Man Who Can’t Get Married', 'Golden Bride', 'I’m Sam', 'Goong']"
151,Dana,"['Golden Pouch', 'Amore Mio']"
152,Dani,"['She’s So Lovable', 'School 2013']"
153,Do Ji Won,"['Angel’s Last Mission: Love', 'Bravo My Life', 'Seven Day Queen', 'My Daughter, Geum Sa Wol', 'Unkind Women', 'Healer', 'Golden Rainbow', 'Pure Love', 'Missing You @ I Miss You', 'Smile, Dong Hae', 'Three Brothers', 'General Hospital 2', 'Our Happy Things', 'Land', '2011 KBS Drama Award']"
154,Esom,"['Save Me 2', 'The Third Charm', 'Because This Is My First Life', 'Ghost', 'White Christmas']"
155,Eugene Kim,"['Ki Tae Youn', 'All About My Mom', 'Could We Love ?', 'A Hundred Year’s Inheritance', 'Ohlala Couple', 'Princess Hwapyung’s Weight Loss', 'King of Baking, Kim Tak Goo', 'Creating Destiny', 'One Mom and Three Dads', 'I Really Really Like You', 'Wonderful Life', 'Save the Last Dance for Me', 'Loving You', '2015 KBS Drama Award', '2011 KBS Drama Award']"
156,Fujii Mina,"['9 Seconds – Eternal Time', 'Potato Star 2013QR3', 'Another Wedding', 'The King of Dramas', 'Panda and Hedgehog']"
157,Ga Deuk Hee,"['Bride of the Water God', 'Person Who Gives Happiness', 'Sweet, Savage Family', 'The Spring Day of My Life', 'King’s Daughter, Soo Baek Hyang', 'Gu Am Heo Joon', 'Nine: 9 Times Time Travel', 'Golden Time', 'Queen In Hyun’s Man', 'Can’t Live With Losing', 'The Princess’ Man', 'Queen of Reversals', 'Hometown Legends', 'Partner', 'The Road Home']"
158,Ga In,['All My Love']
159,Gam So Hyun,"['Priest', 'Matrimonial Chaos']"
160,Geum Bo Ra,"['Blessing of the Sea', 'Good Witch', 'Enemies From the Past', 'Teacher Oh Soon Nam', 'Blow Breeze', 'My Daughter, Geum Sa Wol', 'Eve’s Love', 'Producer', 'My Heart Twinkle Twinkle', 'Come! Jang Bo Ri', 'Take My Hand', 'Potato Star 2013QR3', 'I Summon You, Gold!', 'May Queen', 'Welcome Rain to My Life', 'Jejoongwon', 'Creating Destiny', '2009 Alien Baseball Team', 'Temptation of Wife', 'Spotlight', 'Que Sera, Sera', 'By My Side', 'Bad Family', 'I Really Really Like You', 'Spring Waltz', 'Princess Lulu', 'Hello My Teacher', 'Match Made in Heaven', 'Dae Jang Geum']"
161,Geum Dan Bi,"['Apgujeong Midnight Sun', 'Hero', 'Warrior Baek Dong Soo', 'Obstetrics and Gynecology Doctors', 'Queen of Ahyun', 'Dear Heaven']"
162,Geum Sae Rok,"['The Fiery Priest', 'Shall We Live Together']"
163,Gil Eun Hye,"['Coffee, Please', 'Temperature of Love', 'Woman with a Suitcase', 'Strange Family', 'Orange Marmalade', 'Rosy Lovers', 'Nail Shop Paris', 'School 2013']"
164,Gil Hae Yun,"['My Fellow Citizens', 'Possessed', 'The Ghost Detective', 'Something in the Rain', 'Hospital Ship', 'The Most Beautiful Goodbye in the World', 'Naked Fireman', 'Oh My Geum Bi', 'Working Mom Parenting Daddy', 'Goodbye Mr. Black', 'Babysitter', 'Moorim School', 'Puck!', 'Riders: Catch Tomorrow', 'Sassy Go Go', 'Assembly', 'Heard It Through the Grapevine', 'Miss Mamma Mia', 'Doctor Stranger', 'Secret Love Affair', 'The End of the World', 'A Wife’s Credentials']"
165,Go Ah Ra,"['Haechi', 'Miss Hammurabi', 'Black', 'Hwarang: The Beginning', 'Reply 1988', 'Producer', 'You’re All Surrounded', 'Answer Me 1994', 'Heading to the Ground', 'Who Are You?', 'Snow Flower']"
166,Go Ah Sung,"['Life on Mars', 'Radiant Office', 'Heard It Through the Grapevine', 'God of Study', 'Beating Heart', 'Sad Love Song', '6th APAN Star Award', '2015 SBS Drama Award', '2015 SBS Drama Award']"
167,Go Bi Joo,['Man Who Dies to Live']
168,Go Bo Kyul,"['Praise of Death', 'Forgotten Season', 'Mother', 'Go Back Couple', 'Seven Day Queen', 'Goblin', 'Cinderella and Four Knights', 'Second To Last Love', 'Dear My Friends', 'Father', 'Bubblegum', 'Producer', 'Missing Noir M', 'Angel’s Revenge', 'Housemate']"
169,Go Do Young,"['TV Novel – My Mind’s Flower Rain', 'Save the Family', 'A Cat! Meow', 'Angel’s Revenge', 'Samsaengi', 'One Mom and Three Dads', 'Look Back With a Smile', 'Love Hymn', 'Sea God']"
170,Go Doo Rim,['Mom']
171,Go Doo Shim,"['Mama Fairy and the Woodcutter', 'My Mister', 'Our Gap Soon', 'Dear My Friends', 'I Have a Lover', 'The Eccentric Daughter-in-Law', 'All About My Mom', 'High Society', 'The Legendary Witch', 'Mother’s Garden', 'One Warm Word', 'Marry Him If You Dare', 'Hur Jun, The Original Story', 'Lee Soon Shin is the Best', 'Immortal Classic', 'If Tomorrow Comes', 'The Peak', 'Sparkling', 'Please Marry Me', 'Merchant Kim Man Deok', 'Swallow the Sun', 'Chunja’s Happy Events', 'Kimcheed Radish Cubes', 'Blissful Woman', 'The Snow Queen', 'How Much Love', 'Seoul 1945', 'The Youth in Bare Foot', 'Han River Ballad', 'More Beautiful Than a Flower', '2015 KBS Drama Award', '2014 SBS Drama Award']"
172,Go Eun Ah,"['The Strongest K-POP Survival', 'Bad Guy', 'Vacation', 'Golden Apple']"
173,Go Eun Mi,"['When Time Stops', 'Madam Cha Dal Rae’s Love', 'Return of Lucky Pot', 'Stormy Woman', 'Wife Scandal', 'Empire of Gold', 'Dangerous Woman', 'The 7th Day', 'Smile, Mom', 'I Am Legend', 'Loving You a Thousand Times', 'Even So Love', 'Pure 19', 'As the River Flows']"
174,Go Eun Min,['Go Back Couple']
175,Go Ho Kyung,"['Once Upon a Time in Saengchori', 'Pretty Woman']"
176,Go Hyun Jung,"['Neighborhood Lawyer Jo Deul Ho 2: Crime and Punishment', 'Return', 'Dear My Friends', 'The Queen’s Classroom', 'Dae Mul', 'Queen Seon Duk', 'H.I.T', 'What’s Up Fox?', 'Spring Day']"
177,Go Joo Yun,"['The Prime Minister and I', 'Jeon Woo Chi', 'I Believed in Men', 'God of Study', 'The Devil', 'The Snow Queen', 'Seoul 1945']"
178,Go Joon Hee,"['Possessed', 'Untouchable', 'She Was Pretty', 'Queen of Ambition', 'The Chaser', 'Twelve Men in a Year', 'Can You Hear My Heart', 'Chuno', 'General Hospital 2', 'Robber', 'Crazy For You', 'What’s Up Fox?', 'Hello My Teacher', 'Breathless', '2012 SBS Drama Award']"
179,Go Jung Min,"['My Absolute Boyfriend', 'The Sons', 'Friendly Criminal', 'Queen Insoo', 'Sweet Palpitations', 'First Marriage', 'The Reputable Family', 'Hometown Legends', 'Hometown Legends', 'Winter Bird']"
180,Go Min Ji,"['The Smile Has Left Your Eyes', 'Live', 'Meloholic', 'Age of Youth 2', 'My Sassy Girl']"
181,Go Na Eun,"['My Man’s Secret', 'Jung Do Jun', 'Goddess of Marriage', 'Cruel City', 'An Angel’s Choice', 'Glowing She', 'Assorted Gems', 'Green Coach', 'My Life’s Golden Age', 'Queen of Ahyun']"
182,Go Na Hee,"['Happy Sisters', 'Witch’s Court', 'Third-Rate My Way', 'Return of Lucky Pot', 'Ruler: Master of the Mask', 'Working Mom Parenting Daddy', 'Madame Antoine', 'Awl', 'Six Flying Dragons', 'Mrs. Cop', 'My Mother Is a Daughter-In-Law']"
183,Go Na Yun,['Enemies From the Past']
184,Go Seo Hee,"['Goodbye Mr. Black', 'Madame Antoine', 'Great First Wives', 'Inspiring Generation', 'Unexpected You', 'Secret Investigation Record']"
185,Go So Young,"['Jang Dong Gu', 'Perfect Wife', 'Blue Fish']"
186,Go Soo Hee,"['Big Forest', 'Witch’s Love', 'My Little Baby', 'The Secret Message', 'Sassy Go Go', 'My Love Eun Dong', 'Angry Mom', 'Adolescence Medley', 'The Queen of Office', 'It Was Love', 'To The Beautiful You', 'Big', 'Fashion King', 'Soldier', 'The Miracle of Love', 'Harvest Villa', 'Heading to the Ground', 'Princess Ja Myung Go']"
187,Go Sung Hee,"['Miss Ma, Nemesis', 'Suits', 'Mother', 'While You Were Sleeping', 'Jealousy Incarnate', 'My Beautiful Bride', 'Spy', 'The Night Watchman', 'Miss Korea', '2014 MBC Drama Award']"
188,Go Won Hee,"['Your House Helper', 'Eulachacha Waikiki', 'Strongest Deliveryman', 'TV Novel – The Stars Are Shining', 'The Time We Were Not In Love', 'A Cat! Meow', 'Medical Top Team', 'Cruel Palace – War of Flowers', 'Natural Burials']"
189,Go Woo Ri,"['Rainbo', 'Love in Sadness', 'My Only One', 'Yeonnam-dong 539', 'Start Again', 'Flower of the Queen', 'Glorious Day', 'Answer Me 1994', 'I Need a Fairy', 'Dae Mul']"
190,Go Yoon Jung,['He Is Psychometric']
191,Gong Da Im,"['Here Comes Love', 'Mrs. Cop 2']"
192,Gong Hyo Jin,"['Jealousy Incarnate', 'Producer', 'It’s Okay, That’s Love', 'The Master’s Sun', 'Flower Boy Ramyun Shop', 'The Greatest Love', 'Pasta', 'Thank You', 'Hello My Teacher', 'Sang Doo, Let’s Go To School', 'Snowman', 'Ruler of Your Own World', '2016 SBS Drama Award', '2015 KBS Drama Award', '2014 SBS Drama Award', '2014 SBS Drama Award', '2011 MBC Drama Award', '2011 MBC Drama Award', '2011 MBC Drama Award']"
193,Gong Hyun Joo,"['Love is Drop by Drop', 'Falling for Innocence', 'Hotel King', 'Can We Love?', 'Dummy Mommy', 'You Are My Destiny', 'Golden Bride', 'I Came in Search of a Flower', 'Wedding', 'All In']"
194,Gong Min Jung,"['Familiar Wife', 'Anthology', 'My Golden Life', 'Temperature of Love']"
195,Gong Seo Young,['Rich Man']
196,Gong Seung Yun,"['Jungyeo', 'Are You Human Too?', 'Circle', 'My Only Love Song', 'Circle', 'Introverted Boss', 'Master: God of Noodles', 'Six Flying Dragons', 'Heard It Through the Grapevine', 'She’s So Lovable', 'I Love Lee Tae Ri', '2018 KBS Drama Award', '2015 SBS Drama Award']"
197,Goo Bon Im,"['Let’s Fight Ghost', 'Warm and Cozy', 'Hotel King', 'Firstborn', 'Panda and Hedgehog', 'Birdie Buddy', 'Tempted Again', 'I Love You', 'Han River Ballad', 'My Lovely Family']"
198,Goo Gun Min,"['Working Mom Parenting Daddy', 'Goddess of Marriage', '2016 MBC Drama Award']"
199,Goo Ha Ra,"['Kar', 'It’s Ok, This is Love', 'Secret Love', 'City Hunte', '2011 SBS Drama Award']"
200,Goo Hye Ryung,"['Saimdang, Light’s Diary', 'The Flower in Prison', 'Fall in Love with Soon Jung', 'The Legendary Witch', 'What Happens to My Family?', 'Fated To Love You', 'Master of Study', 'Life Special Investigation Team', 'Pure 19']"
201,Goo Ja Mi,['Blue Bird’s House']
202,Goo Jae Yee,"['Mistress', 'Laurel Tree Tailors', 'Vampire Detective', 'Last', 'I Order For You', 'Oh My Ghost', 'Angel’s Revenge', 'The Greatest Thing in the World', 'Dating Agency: Cyrano', 'Love Rain']"
203,Gook Ji Yun,"['The Scarlet Letter', 'The Woman Who Still Wants To Marry', 'Boys Before Flowers', 'You Are Very Good']"
204,Guzal Tursunova,"['Golden Tower', 'Rooftop Prince', 'Real School!', 'Golden Fish']"
205,Ha Eun Jin,"['Blessing of the Sea', 'Mrs. Cop 2', 'Start Again', 'The Legendary Witch', 'Hundred Year Inheritance', 'Flower Boy Ramen Shop', 'Lights and Shadows']"
206,Ha Eun Soo,"['Children of Nobody', 'Your Honor', 'Mr. Sunshine', 'Investigation Couple']"
207,Ha Eun Sul,"['Age of Youth 2', 'Age of Youth', 'Immutable Law of First Love', 'The Lover', 'Yoo Na’s Street']"
208,Ha Hee Ra,"['Choi Soo Jon', 'Cho Tae Kwa', 'Madam Cha Dal Rae’s Love', 'Best Couple', 'Make a Woman Cry', 'Good For You', 'Dummy Mommy', 'President ', 'I Live Without Anything', 'Give Me Food', 'Catch A Kang Nam Mother', '2018 KBS Drama Award']"
209,Ha Hwang Haiyen,"['Face Me and Smile', 'Can Anyone Love', 'Hometown over the Hill', 'I Came in Search of a Flower']"
210,Ha Jae Sook,"['My Absolute Boyfriend', 'Good Witch', 'Bravo My Life', 'On the Way to the Airport', 'Beautiful Mind', 'My Heart Twinkle Twinkle', 'Birth of a Beauty', 'Illegal Parking', 'The Woman Who Married Three Times', 'A Well Grown Daughter, Hana', 'Childless Comfort', 'Lights and Shadows', 'Protect the Boss', 'I Believe in Love', 'Pasta', 'The Sons of Sol Pharmacy House', 'Chosun Police 2', 'Women of the Sun', 'Chosun Police', 'How Much Love', 'Alone in Love']"
211,Ha Ji Eun,"['Where Stars Land', 'TV Novel – That Sun in the Sky', 'Unkind Ladies', 'What Happens to My Family?', 'Gunman in Joseon']"
212,Ha Ji Won,"['Jun Tae So', 'Hospital Ship', 'The Time We Were Not In Love', 'Empress Ki', 'The King 2hearts', 'Secret Garden', 'Hwang Jin Yi', 'What Happened in Bali', 'Damo', '2017 MBC Drama Award', '2013 MBC Drama Award', '2013 MBC Drama Award', '2013 MBC Drama Award']"
213,Ha Ji Young,"['Ho Goo’s Love', 'Persevere, Goo Hae Ra']"
214,Ha Joo Hee,"['Children of Nobody', 'Vampire Detective', 'Ruby’s Ring', 'Take Care Of Us, Captain', 'Bad Guy', 'My Life’s Golden Age', 'Aquarius', 'Great Inheritance', 'Soulmate', 'The Age of Heroes', 'Love is All Around', 'Thousand Years of Love']"
215,Ha Kyu Won,"['Good Doctor', 'The King of Dramas']"
216,Ha Seung Ri,"['Sunny Again Tomorrow', 'School 2017', 'Chief Kim', 'Women’s Secret', 'Rickety Rackety Family', 'Trains Don’t Stop at Noryangjin Station', 'Second Time Twenty Years Old', 'Producer', 'Divorce Lawyer in Love', 'Unkind Women', 'Secret Door', 'Ghost', 'Happy Ending', 'I Remember You', 'I Am Legend', 'King of Baking, Kim Tak Goo', 'Give Me Food', 'Bad Woman, Good Woman', 'Glass Slippers']"
217,Ha Si Eun,"['Babel', 'The Beauty Inside', 'Goodbye to Goodbye', 'The Package', 'Another Miss Oh', 'Jang Ok Jung', 'Chuno', 'Glory of Youth', 'Exciting Change']"
218,Ha Yeon Soo,"['Rich Man', 'Oh! Dear Half-Basement Goddesses', 'Drinking Solo', 'The Legendary Witch', 'Potato Star 2013QR3', 'Monstar']"
219,Ha Yoo Mi,"['Queen of Reversals', 'Cain and Abel', 'My Man’s Woman', 'Love and Ambition', 'The Youth in Bare Foot']"
220,Ha Yoon,"['More Charming by the Day', 'Hometown Legends', 'New Heart']"
221,Ha Yoon Kyung,"['Matrimonial Chaos', 'Queen of Mystery 2']"
222,Ha Yun Joo,"['Left-Handed Wife', 'Person Who Gives Happiness', 'Goodbye Mr. Black', 'Cheo Yong 2', 'Iron Lady Cha', 'My Secret Hotel', 'Miss Korea', 'Dating Agency: Cyrano', 'Sincerity Moves Heaven', 'I Need Romance 2012', 'I Need Romance', 'Royal Family', 'Gloria', 'That Person Is Coming']"
223,Hae Geum,"['Man Who Sets the Table', 'I’ll Give You The Stars and The Moon']"
224,Ham Eun Jung,"['T-ar', 'Lovely Horribly', 'Unique Daughters-in-Law', 'I Love You From Today', 'Endless Love', 'Five Fingers', 'Queen Insoo', 'King Geunchogo', 'Dream High Season 1', 'Coffee House', 'Hello My Teacher', 'Land', 'Ham Eun Jun', 'T-ar', 'Five Fingers', 'Hyo Mi', 'The Thousandth Ma', 'Park So Yeo', 'Lovers of Haeunda', 'Jin Se Yu']"
225,Han Bo Bae,"['Eulachacha Waikiki', 'School 2017', 'Voice', 'Doctors', 'Vampire Detective', 'Remember – War of the Son', 'Late Night Restaurant', 'Make a Woman Cry', 'Gu Am Heo Joon', 'Ghost', 'Queen Insoo', 'A Thousand Days’ Promise', 'Gye Baek', 'Sign', 'Dr. Champ', 'Smile, You', 'Tae Hee, Hye Kyo, Ji Hyun', 'Empress Chun Chu', 'Big Sister', 'Last Scandal', 'Ballad Of Suh Dong']"
226,Han Bo Reum,"['Memories of the Alhambra', 'That Man Oh Soo', 'Children of a Lesser God', 'Go Back Couple', 'Let’s Fight Ghost', 'Everything Will Be OK', 'Modern Farmer', 'Principal Investigator – Save Wang Jo Hyun!', 'Master’s Sun', 'I Summon You, Gold!', 'Dream High']"
227,Han Byul,"['Hip Hop Teacher', 'Someone Noticeable']"
228,Han Chae Ah,"['Introverted Boss', 'The Merchant: Gaekju 2015', 'Only You, My Love', 'Marry Him If You Dare', 'All About My Romance', 'Ohlala Couple', 'Bridal Mask', 'Hero', 'Believe in Love', 'Definitely Neighbors', 'Style', 'Kokkiri', '2015 KBS Drama Award', '2015 KBS Drama Award']"
229,Han Chae Young,"['A Promise with the Gods', 'Pretty Man', 'Advertising Genius Lee Tae Baek', 'Lan Se Meng Xiang', 'Strangers 6', 'A Man Called God', 'Boys Before Flowers', 'Exhibition of Fireworks', 'My Girl', 'Only You', 'Delightful Girl Choon Hyang', 'Autumn Tale']"
230,Han Da Eun,['Wife Scandal']
231,Han Da Min,"['You’re Only Mine', 'Giant', 'Dong Yi', 'Cain and Abel', 'Chun Ja’s Happy Events', 'Why Did You Come to My House', 'The King and I', 'The 1st Shop of Coffee Prince', 'Me Ri, Dae Gu’s Attack and Defense Battle', 'Surgeon Bong Dal Hee', 'Seoul 1945']"
232,Han Da Sol,"['Memories of the Alhambra', 'Twelve Nights', 'The Smile Has Left Your Eyes']"
233,Han Eun Jung,"['Let Me Introduce Her', 'Return', 'Yeong Joo', 'Iron Man', 'Golden Cross', 'Dream of 400 Years', 'The Gumiho’s Revenge', 'Cinderella Man', 'The Lawyers of The Great Republic Korea', 'The Person I Love', 'Seoul 1945', 'Wonderful Life', 'Full House', 'Scent of a Man', 'Successful Story of a Bright Girl', '2014 KBS Drama Award', '2011 KBS Drama Award']"
234,Han Eun Seo,"['Praise of Death', 'Return', 'TV Novel – Sea of the Woman', 'Vampire Detective', 'TV Novel – In Still Green Days', 'The Family is Coming', 'The Three Musketeers', 'Golden Tower', 'Potato Star 2013QR3', 'Ghost', 'High Kick 3: The Revenge of the Short Legged', 'Face Me and Smile', 'Will it Snow for Christmas?', 'Heading to the Ground', 'Our Happy Ending', 'Dae Wang Sejong']"
